Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer â€“ 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court â€“ 1","If yes, which High Court â€“ 2","If yes, which High Court â€“ 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
MADHAV. J. JAMDAR,Male,1967-01-13T00:00:00Z,NA,NA,2020-01-07T00:00:00Z,2029-01-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1991,NA,No,No,No,Bombay
B.P. COLABAWALLA,Male,1967-12-16T00:00:00Z,NA,NA,2014-01-06T00:00:00Z,2029-12-15T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,"Cathedral & John Connon School, Mumbai","K.C. College, Mumbai",Arts,K.C. Law College,1993,1993,Maharashtra & Goa,No,No,No,Bombay
NITIN W. SAMBRE,Male,1967-12-19T00:00:00Z,Maharashtra,Nagpur,2014-01-06T00:00:00Z,2029-12-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,Somalwar High School and Shivaji Science College,NA,Commerce,"University College of Law, Nagpur",NA,1992,NA,No,No,No,Bombay
S. V. KOTWAL,Male,1968-04-13T00:00:00Z,Gujarat,Ahmedabad,2017-06-05T00:00:00Z,2030-04-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Dhule,Pune University,Engineering,"Siddharth Law College, Mumbai",NA,1992,Maharashtra & Goa,No,No,No,Bombay
BHARATI DANGRE,Female,1968-05-10T00:00:00Z,NA,NA,2017-06-05T00:00:00Z,2030-05-09T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,"Dr. Babasaheb Ambedkar College of Law, Nagpur",1990,1990,NA,No,No,Yes,Bombay
G.S. KULKARNI,Male,1968-06-24T00:00:00Z,NA,NA,2014-01-06T00:00:00Z,2030-06-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1992,Maharashtra & Goa,No,No,No,Bombay
M. S. KARNIK,Male,1969-02-10T00:00:00Z,Maharashtra,Nashik,2016-03-17T00:00:00Z,2031-02-09T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,Pune University,1991,1991,Maharashtra & Goa,No,No,No,Bombay
P. V. GANEDIWALA,Female,1969-03-11T00:00:00Z,NA,NA,2019-02-13T00:00:00Z,2031-03-10T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1992,NA,No,Yes,Yes,Bombay
M. N. JADHAV,Male,1969-08-14T00:00:00Z,Maharashtra,Mumbai,2019-08-23T00:00:00Z,2031-08-13T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"St. Teresa's High School, Charni Road, Mumbai","St. Xavier's College, Mumbai",Science (Life Science and Bio-Chemistry),"Government Law College, Mumbai",1996,1998,NA,No,No,Yes,Bombay
ABHAY AHUJA,Male,1969-08-24T00:00:00Z,NA,NA,2020-03-04T00:00:00Z,2031-08-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,"Jai Hind College, Mumbai",Science,"Government Law College, Mumbai",NA,1992,Maharastra & Goa,Yes,No,Yes,Bombay
R. I. CHAGLA,Male,1969-10-22T00:00:00Z,Maharashtra,Mumbai,2017-06-05T00:00:00Z,2031-10-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"H.R. College of Commerce and Economics, Mumbai University",Commerce & Arts,University of Cambridge - Downing College,1993,1993,Maharashtra & Goa,Yes,No,No,Bombay
MANISH PITALE,Male,1970-09-11T00:00:00Z,Maharashtra,Nagpur,2017-06-05T00:00:00Z,2032-09-10T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"Hindu College, University of Delhi",Science,University of Delhi,NA,1995,NA,No,No,No,Bombay
Nitin R. Borkar,Male,1971-08-02T00:00:00Z,NA,NA,2019-12-05T00:00:00Z,2033-08-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,No,No,No,No,Yes,Gondia,"Dr. Babasaheb Ambedkar College of Law, Nagpur",NA,NA,NA,1995,Maharastra & Goa,No,No,No,Bombay
AMIT B. BORKAR,Male,1972-01-02T00:00:00Z,NA,NA,2020-01-14T00:00:00Z,2034-01-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1994,NA,No,No,No,Bombay
N. J. JAMADAR,Male,1972-09-22T00:00:00Z,NA,NA,2018-10-11T00:00:00Z,2034-09-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Shri Shahaji High School, Akkalkot, Dist. Solapur, D.A.V. Dayanand Law College, Solapur",NA,Science,NA,NA,1994,Maharastra & Goa,No,No,No,Bombay
Shrridhar Tryambak Kharche,Male,1994-01-03T00:00:00Z,NA,NA,2002-10-03T00:00:00Z,2006-01-03T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1972,Maharashtra & Goa,No,No,No,Bombay
S.C.MALTE,Male,NA,NA,NA,1994-10-06T00:00:00Z,NA,No,No,Bombay,Yes,PunjabandHaryana,1994-11-01T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,1960,NA,No,Yes,Yes,Bombay
G.C Dey,Male,1943-01-08T00:00:00Z,NA,NA,1999-09-16T00:00:00Z,2005-01-07T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1964,1965,West Bengal,No,No,No,Calcutta
AK Mathur,Male,1943-07-07T00:00:00Z,West Bengal,Calcutta,1985-09-18T00:00:00Z,2008-07-07T00:00:00Z,No,No,Rajasthan,Yes,MadhyaPradesh,1994-02-18T00:00:00Z,Calcutta,1999-12-22T00:00:00Z,NA,NA,Yes,Madhya Pradesh,Calcutta,NA,Yes,2004-06-07T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,Arts (English),University of Calcutta,1970,1967,Rajasthan,No,No,No,Calcutta
A Chakraborty,Male,1943-07-15T00:00:00Z,NA,NA,1994-03-28T00:00:00Z,2005-07-14T00:00:00Z,No,No,Calcutta,Yes,Allahabad,1994-04-19T00:00:00Z,Calcutta,2000-08-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1968,West Bengal,No,No,No,Calcutta
VS Sirpurkar,Male,1946-08-22T00:00:00Z,Maharashtra,Chandrapur,1992-11-09T00:00:00Z,2011-08-22T00:00:00Z,No,No,Bombay,Yes,Madras,NA,NA,NA,NA,NA,Yes,Uttaranchal,Calcutta,NA,Yes,2005-12-01T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Morris College,NA,University College of Nagpur,NA,1985,Maharashtra,No,No,No,Calcutta
Jainarayan Patel,Male,1950-10-05T00:00:00Z,NA,NA,1987-04-20T00:00:00Z,2012-10-05T00:00:00Z,No,No,Bombay,Yes,Bombay,NA,Bombay,1997-01-07T00:00:00Z,NA,NA,Yes,Calcutta,NA,NA,Yes,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1974,Bombay,No,No,No,Calcutta
Dipak Saha Ray,Male,1951-06-02T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-06-01T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,1977,West Bengal,No,No,No,Calcutta
Anindita Roy Saraswati,Female,1951-12-03T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-12-02T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1977,West Bengal,No,Yes,No,Calcutta
Tarun Kumar Das,Male,1952-01-01T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2013-12-31T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,1975,West Bengal,No,No,No,Calcutta
Subal Baidya,Male,1952-01-03T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2014-01-02T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Political Science,"Jogesh Chandra Chowdhury College of Law, University of Calcutta",NA,NA,NA,No,Yes,No,Calcutta
Kanchan Chakraborty,Male,1952-01-04T00:00:00Z,West Bengal,Malda,2010-06-21T00:00:00Z,2014-01-03T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,North Bengal University,Commerce,University of Calcutta,1977,NA,West Bengal,No,No,No,Calcutta
Raghunath Bhattacharya,Male,1952-01-11T00:00:00Z,NA,NA,2010-06-21T00:00:00Z,2014-01-10T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,Universty of Calcutta,Chemistry,University of Calcutta,1977,NA,NA,No,No,No,Calcutta
Murari Prasad Shrivastava,Male,1952-02-13T00:00:00Z,West Bengal,Dum Dum,2012-04-09T00:00:00Z,2014-02-12T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,"Don Bosco, Park Circus, Kolkata","St. Xavier's College, Kolkata",Chemistry,University of Calcutta,NA,NA,NA,No,Yes,No,Calcutta
Toufique Uddin,Male,1952-03-04T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2014-03-03T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,University of Calcutta,Mathematics,University of Calcutta,NA,NA,NA,No,No,Yes,Calcutta
Prasenjit Mandal,Male,1952-03-28T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2014-03-27T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,Physics,NA,NA,1975,NA,No,No,No,Calcutta
Asim Kumar Ray,Male,1952-05-11T00:00:00Z,NA,NA,2010-06-21T00:00:00Z,2014-05-10T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Science,NA,NA,NA,NA,No,No,No,Calcutta
Tarun Kumar Gupta,Male,1952-06-15T00:00:00Z,NA,NA,2010-06-01T00:00:00Z,2014-06-14T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,"Atheneum Institution, Kolkata","Vidyasagar College, Calcutta",Chemistry,"Surendranath College, University of Calcutta",NA,NA,NA,No,No,No,Calcutta
Mrinal Kanti Saha,Male,1952-11-09T00:00:00Z,NA,NA,2009-06-24T00:00:00Z,2014-11-08T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,University of Calcutta,NA,NA,NA,No,Yes,No,Calcutta
Asim Kumar Mondal,Male,1952-11-24T00:00:00Z,NA,NA,2012-04-09T00:00:00Z,2014-11-23T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Commerce,NA,NA,NA,NA,No,Yes,No,Calcutta
TK Dutt,Male,1953-02-09T00:00:00Z,NA,NA,2003-12-03T00:00:00Z,2015-02-08T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,La Martiniere School for Boys,St. Xavier's College,Commerce,University of Calcutta,NA,1980,West Bengal,No,No,No,Calcutta
JK Biswas,Male,1953-02-17T00:00:00Z,NA,NA,2002-02-05T00:00:00Z,2015-02-16T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1981,West Bengal,No,No,No,Calcutta
AK Banerjee,Male,1953-06-02T00:00:00Z,NA,NA,2000-09-15T00:00:00Z,2015-06-01T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,"Scottish Church College, Kolkata",NA,NA,NA,1976,West Bengal,No,No,No,Calcutta
PK Chattopadhyay,Male,1953-08-09T00:00:00Z,NA,NA,2000-09-15T00:00:00Z,2015-08-08T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,University of Calcutta,NA,1978,West Bengal,No,No,No,Calcutta
Mohit Shantilal Shah,Male,1953-09-09T00:00:00Z,Gujarat,Vijapur,1995-09-18T00:00:00Z,2015-09-09T00:00:00Z,No,No,Gujarat,No,NA,NA,NA,NA,NA,NA,Yes,Calcutta,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Baroda, Surat, Amreli",Maharaja Sayajirao University of Baroda,NA,Maharaja Sayajirao University of Baroda,1976,1976,Gujrat,No,No,No,Calcutta
Shib Sadhan Sadhu,Male,1954-04-10T00:00:00Z,NA,NA,2013-10-01T00:00:00Z,2016-04-09T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Sri Sri Sarada Vidyapith, Dubrajpur, Birbhum","TDB College Raniganj, University of Burdwan",Mathematics,University of Burdwan,1979,NA,West Bengal,No,No,No,Calcutta
Soumitra Pal,Male,1954-08-28T00:00:00Z,NA,NA,2004-01-19T00:00:00Z,2016-08-28T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,South Point High School,Xaviers College,Arts,Calcutta University,1980,1981,West Bengal,No,No,No,Calcutta
Girish Chandra Gupta,Male,1954-12-01T00:00:00Z,Kolkata,NA,2000-09-15T00:00:00Z,2016-02-01T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,Yes,Calcutta,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Kolkata,NA,NA,NA,NA,1982,West Bengal,No,No,No,Calcutta
Indrajit Chatterjee,Male,1955-02-02T00:00:00Z,West Bengal,Bankura,2013-10-01T00:00:00Z,2017-02-01T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,University of Calcutta (Belur Vidya Mandir),NA,Burdawan University,1979,1980,West Bengal,No,No,No,Calcutta
Ishan Chandra Das,Male,1955-03-01T00:00:00Z,NA,NA,2013-10-01T00:00:00Z,2017-02-28T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Calcutta University,NA,Calcutta University,1979,NA,NA,No,Yes,No,Calcutta
Malay Marut Banerjee,Male,1955-04-01T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2017-03-31T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Ramakrishna Mission Vidya Mandir, Belur Math",University of Burdawan,NA,University of Burdwan,1979,NA,NA,No,No,No,Calcutta
C.S. Karnan,Male,1955-06-12T00:00:00Z,"Karnatham Village, Virudhachalam Taluk,","Cuddalore District, Tamil Nadu",2016-03-11T00:00:00Z,2017-06-11T00:00:00Z,No,No,Madras,Yes,Madras,NA,Calcutta,2016-03-11T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,Mangalampet High School,"New College, Chennai",Science,Madras Law College,1983,1983,Tamil Nadu,No,No,No,Calcutta
Tapash Mookherjee,Male,1955-07-15T00:00:00Z,NA,NA,2013-10-01T00:00:00Z,2017-07-14T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Rahara Ramkrishna Mission Boysâ€™ Home School,Raj College under Burdwan University,commerce,"Burdwan University, Department of Law",1979,NA,West Bengal,No,No,No,Calcutta
Sankar Acharyya,Male,1955-08-24T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2017-08-23T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,Commerce,University of Calcutta,1980,1981,West Bengal,No,Yes,No,Calcutta
Ashim Kumar Roy,Male,1955-08-30T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2017-08-29T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Calcutta,Science,University of Calcutta,1982,1984,West Bengal,No,No,No,Calcutta
Nishita Mhatre,Female,1955-09-20T00:00:00Z,Maharashtra,Pune,2001-03-28T00:00:00Z,2017-09-18T00:00:00Z,No,No,Bombay,Yes,Calcutta,2011-12-27T00:00:00Z,NA,NA,NA,NA,No,,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,St. Maryâ€™s School,"Sophia College, Mumbai",Microbiology,"Government Law College, Mumbai",NA,1978,Maharashtra and Goa,No,No,No,Calcutta
Subhro Kamal Mukherjee,Male,1955-10-10T00:00:00Z,NA,NA,2000-09-15T00:00:00Z,2017-10-09T00:00:00Z,No,No,Calcutta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1982,West Bengal,No,Yes,No,Calcutta
Ranjit Kumar Bag,Male,1955-11-08T00:00:00Z,NA,NA,2013-10-01T00:00:00Z,2017-11-07T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,Calcutta University,NA,Calcutta University,NA,NA,West Bengal,No,No,No,Calcutta
Siddhartha Chattopadhyay,Male,1956-02-08T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2018-02-07T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,Goenka College of Commerce & Business Administration,Commerce,University of Calcutta,1984,NA,West Bengal,No,No,Yes,Calcutta
Mir Dara Sheko,Male,1956-02-11T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2018-02-10T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Rampurhat College,Arts,Jogesh Chandra Choudhury College of Law under University of Calcutta,1980,1981,Birbhum,No,No,No,Calcutta
Debi Prosad Dey,Male,1956-02-16T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2018-02-15T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Purulia Zilla School,Burdwan University,Commerce,Burdwan University,NA,NA,West Bengal,No,No,No,Calcutta
Jyotirmay Bhattacharya,Male,1956-09-25T00:00:00Z,West Bengal,"Village Beliachandi, 24-Parganas (South)",2003-12-03T00:00:00Z,2018-09-23T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Baruipur High School,"St. Xavier's College, Calcutta",NA,University of Calcutta,NA,1983,West Bengal,No,No,No,Calcutta
Nadira Patherya,Female,1956-11-19T00:00:00Z,NA,NA,2006-06-22T00:00:00Z,2018-11-18T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,University of Calcutta,Arts,University of Calcutta,NA,1983,West Bengal,No,No,No,Calcutta
Debasish Kar Gupta,Male,1957-01-01T00:00:00Z,Calcutta,West Bengal,2006-06-22T00:00:00Z,2018-12-30T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1980,1982,West Bengal,No,No,No,Calcutta
Md. Mumtaz Khan,Male,1957-08-15T00:00:00Z,NA,NA,2015-03-30T00:00:00Z,2019-08-14T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,NA,NA,No,No,No,Calcutta
Indira Banerjee,Female,1957-09-24T00:00:00Z,NA,NA,2002-02-05T00:00:00Z,2022-09-23T00:00:00Z,No,No,Calcutta,Yes,Delhi,2016-08-08T00:00:00Z,NA,NA,NA,NA,Yes,Madras,NA,NA,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,NA,No,No,No,No,No,"Loreto House, Calcutta",Presidency College,NA,"Calcutta University, College of Law",NA,1985,West Bengal,No,No,No,Calcutta
"Sambuddha Chakrabarti

",Male,1958-05-11T00:00:00Z,West Bengal,NA,2010-09-13T00:00:00Z,2020-05-10T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,NA,Presidency University,NA,University of Calcutta,1986,NA,NA,No,Yes,No,Calcutta
Madhumati Mitra,Female,1958-05-31T00:00:00Z,West Bengal,NA,2020-04-24T00:00:00Z,2020-05-30T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,Srerampore College,NA,"University College of Law, Calcutta",NA,NA,West Bengal,No,No,Yes,Calcutta
Manojit Mandal,Male,1958-09-27T00:00:00Z,West Bengal,NA,2020-09-24T00:00:00Z,2020-09-26T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,University of Calcutta,Commerce,University of Calcutta,1982,NA,West Bengal,No,No,No,Calcutta
Sahidullah Munshi,Male,1958-09-29T00:00:00Z,NA,NA,2016-03-14T00:00:00Z,2020-09-28T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,NA,NA,1986,West Bengal,No,No,No,Calcutta
Samapti Chatterjee,Female,1958-12-13T00:00:00Z,West Bengal,NA,2016-03-14T00:00:00Z,2020-12-12T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Gokhale Memorial College,NA,University of Calcutta,NA,1985,West Bengal,No,No,No,Calcutta
Shivakant Prasad,Male,1959-12-06T00:00:00Z,NA,NA,2015-03-30T00:00:00Z,2021-12-05T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,University of Calcutta,NA,University of Calcutta,1985,1985,West Bengal,No,No,No,Calcutta
Sudip Ahluwalia,Male,1959-12-30T00:00:00Z,Punjab,NA,2013-10-01T00:00:00Z,2016-05-22T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,Punjabi University,Humanities,Indore University,1981,NA,NA,No,No,No,Calcutta
Amitabha Chatterjee,Male,1960-05-09T00:00:00Z,NA,NA,2016-10-06T00:00:00Z,2022-05-08T00:00:00Z,No,No,Calcutta,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Katwa College,NA,Katwa College,1979,NA,West Bengal,No,No,No,Calcutta
