Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,
Yatindra Singh,Male,1952-10-09T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2014-10-08T00:00:00Z,No,No,Allahabad,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Chhattisgarh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Allahabad University,Science,Allahabad University,1973,1973,Not Available,Not Available,Not Available,No,Chhattisgarh,
Tankeshwar Prasad Sharma,Male,1953-06-19T00:00:00Z,Not Available,Not Available,2008-01-11T00:00:00Z,2015-06-18T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,Not Available,Madhya  Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Inder Singh Uboweja,Male,1954-06-01T00:00:00Z,Chhattisgarh,"Saraipali, Raipur (now Mahasamund)
",2014-01-27T00:00:00Z,2016-05-31T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1978,Madhya  Pradesh,Not Available,Yes,Yes,Chhattisgarh,
Chandra Bajpai,Male,1955-10-14T00:00:00Z,Madhya Pradesh,Not Available,2014-01-27T00:00:00Z,2017-10-13T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Yes,Not Available,Chhattisgarh,
Navin Sinha,Male,1956-08-19T00:00:00Z,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Patna,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Chhattisgarh,Rajasthan,Not Applicable,No,2017-02-17T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,Not Available,Not Available,1979,PatNot Available,Not Available,Not Available,Yes,Chhattisgarh,
Ram Prasanna Sharma,Male,1958-05-20T00:00:00Z,Not Available,Not Available,2017-06-27T00:00:00Z,2020-05-19T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Sharad Kumar Gupta,Male,1959-04-14T00:00:00Z,Chhattisgarh,Rajnandgaon,2017-06-27T00:00:00Z,2021-03-31T00:00:00Z,No,Yes,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Awadhesh Pratap University,Science,Jivaji University,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Vimla Kapoor,Female,1959-11-16T00:00:00Z,Not Available,Not Available,2018-06-18T00:00:00Z,2021-06-17T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Gautam Choudhury,Male,1960-07-04T00:00:00Z,Chhattisgarh,Rajnandgaon,2018-06-18T00:00:00Z,2022-07-03T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Yes,Not Available,Digvijay College,Commerce,Pt. Ravi Shankar University,Not Available,1984,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Ajay Kumar Tripathi,Male,1961-07-05T00:00:00Z,Uttar Pradesh,Pratapgarh,Not Available,Not Available,Not Available,Not Available,Patna,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Chhattisgarh,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,1983,Not Available,Not Available,Not Available,Yes,Not Available,Chhattisgarh,
Goutam Bhanduri,Male,1962-11-10T00:00:00Z,Not Available,Not Available,2013-09-16T00:00:00Z,2024-11-09T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,"Bengali Kalibadi School, Raipur and St. Paul Higher Secondary, School, Raipur",Ravi Shankar University,Commerce,Ravi Shankar University,Not Available,1985,Madhya Pradesh,Not Available,Not Available,yes,Chhattisgarh,
Arvind Chandel,Male,1963-09-01T00:00:00Z,Chhattisgarh,Bilaspur,2017-06-27T00:00:00Z,2025-08-31T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Pt. Ravi Shankar Shukla University,Arts,Guru Ghasidas University,Not Available,1987,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Manindra Mohan Shrivastava,Male,1964-03-06T00:00:00Z,Chhattisgarh,Bilaspur,2009-12-10T00:00:00Z,2026-03-05T00:00:00Z,No,No,Chhattisgarh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,yes,Not Available,CMD college,Science,K R Law College,Not Available,1987,Madhya Pradesh,Not Available,Not Available,yes,Chhattisgarh,
Rajani Dubey,Female,1964-06-30T00:00:00Z,Madhya Pradesh,Jabalpur,2018-06-18T00:00:00Z,2026-06-29T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,no,Not Available,Not Available,Not Available,Not Available,"Government Degree College,Mandla",Not Available,Rani Durgawati University,Not Available,1987,Madhya Pradesh,Not Available,Not Available,Not Available,Chhattisgarh,
Sanjay Agrawal,Male,1964-08-21T00:00:00Z,Chhattisgarh,Bilaspur,2016-09-29T00:00:00Z,2026-08-20T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Kaushalendra Rao Law College,Not Available,1989,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Prasant Kumar Mishra,Male,1964-08-29T00:00:00Z,Chhattisgarh,Raigarh,2009-12-10T00:00:00Z,2026-08-28T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,Yes,Not Available,Not Available,Yes,Not Available,Guru Ghasidas University,Science,Guru Ghasidas University,Not Available,1987,Madhya Pradesh,No,Yes,Yes,Chhattisgarh,
Naresh Chandravanshi,Male,1965-11-06T00:00:00Z,Chhattisgarh,Udpala,2021-03-22T00:00:00Z,Not Available,Not Available,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Hari Singh Gaur University,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Puthichira Koshy,Male,1967-04-30T00:00:00Z,Not Available,Not Available,2013-09-16T00:00:00Z,2029-04-29T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Not Available,G. S. College,Commerce,Rani Durgawati Vishwavidyala,1991,1991,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Narendra Kumar Vyas,Male,1970-10-05T00:00:00Z,Chhattisgarh,Raipur,2021-03-22T00:00:00Z,Not Available,Not Available,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Yes,Yes,"St. Pauls Higher Secondary School, Raipur","Pt. Ravishankar University, Raipur",Science,"Pt. Ravishankar University, Raipur",1995,1996,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Parth Prateem Sahu,Male,1971-04-19T00:00:00Z,Madhya Pradesh,Dhamtari,2018-06-18T00:00:00Z,2033-04-18T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Rani Durgawati University,Commerce,Rani Durgawati University,Not Available,1996,Madhya Pradesh,Not Available,Not Available,Yes,Chhattisgarh,
Anil Kumar Shukla,Male,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Science,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Yes,Not Available,Chhattisgarh,
Fakhruddin,Male,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Madhya Pradesh,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chhattisgarh,
L. C. Bhadoo,Male,Not Available,Not Available,Not Available,2003-01-20T00:00:00Z,2008-07-24T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Rajendra Chandra Singh Samant,Male,Not Available,Not Available,Not Available,2016-09-29T00:00:00Z,2022-06-30T00:00:00Z,No,No,Chhattisgarh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Chhattisgarh,
Vijay Kumar Shrivastava,Male,Not Available,Not Available,Not Available,2004-09-27T00:00:00Z,2007-03-03T00:00:00Z,No,No,Madhya Pradesh,no,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Chhattisgarh,
Milap Chand Jain,Male,1929-07-21T00:00:00Z,Not Available,Not Available,1978-06-15T00:00:00Z,1991-07-20T00:00:00Z,No,No,Rajasthan,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1953,Rajasthan,Not Available,Not Available,Not Available,Delhi,
Yogeshwar Dayal,Male,1930-11-18T00:00:00Z,Pakistan (then in Punjab),Lahore,1974-02-28T00:00:00Z,1994-08-02T00:00:00Z,Yes,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Andhra Pradesh,Not Applicable,Not Applicable,Yes,1991-03-22T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"Bhargava Municipal College, Simla",Arts,University of Delhi,Not Available,1955,Punjab and HaryaNot Available,No,No,No,Delhi,
P. K. Bahri,Male,1931-04-24T00:00:00Z,Not Available,Not Available,1987-07-10T00:00:00Z,1996-04-02T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,Yes,No,Delhi,
Rameshwar Lal Gupta,Male,1932-10-15T00:00:00Z,Not Available,Not Available,1989-04-27T00:00:00Z,1994-10-14T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Yes,No,Delhi,
Gokal Chand Mittal,Male,1933-03-04T00:00:00Z,Not Available,Not Available,1979-02-19T00:00:00Z,1995-03-03T00:00:00Z,No,No,PunjabandHaryana,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1956,Punjab and HaryaNot Available,No,No,No,Delhi,
Konethota Shivshankar Bhat,Male,1933-03-12T00:00:00Z,Not Available,Not Available,1987-03-06T00:00:00Z,1995-03-11T00:00:00Z,No,No,Karnataka,Yes,Delhi,Not Available,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Not Available,Arts,Madras Law College (Madras University),Not Available,1958,Not Available,No,No,No,Delhi,
Sagar Chand Jain,Male,1933-09-23T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,1995-09-22T00:00:00Z,No,No,Delhi,Yes,Allahabad,1994-04-28T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Government College, Rohtak",Arts,University of Delhi,Not Available,Not Available,Delhi,No,No,No,Delhi,
N.C. Kochar,Male,1935-03-26T00:00:00Z,Not Available,Not Available,1986-11-17T00:00:00Z,1997-03-25T00:00:00Z,No,No,Delhi,Yes,Rajasthan,1988-06-17T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1962,Delhi,No,No,No,Delhi,
Vidya Bhushan Bansal,Male,1935-10-01T00:00:00Z,Not Available,Not Available,1989-04-27T00:00:00Z,1994-11-23T00:00:00Z,Yes,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,Not Available,Not Available,No,No,No,Delhi,
Jagdish Kumar Mehra,Male,1935-11-06T00:00:00Z,Not Available,Not Available,1991-03-19T00:00:00Z,1997-11-05T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Delhi,Not Available,Not Available,No,Delhi,
Mamidana Jagannadha Rao,Male,1935-12-02T00:00:00Z,Andhra Pradesh,Rajahmundry,1982-09-29T00:00:00Z,2000-12-01T00:00:00Z,No,No,AndhraPradesh,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Kerala,Delhi,Not Applicable,Yes,1997-03-21T00:00:00Z,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Not Available,Science,Not Available,Not Available,1960,Not Available,No,No,No,Delhi,
P K Jain,Male,1936-02-25T00:00:00Z,Not Available,Not Available,1994-11-10T00:00:00Z,1998-02-24T00:00:00Z,No,No,Delhi,Yes,PunjabandHaryana,1995-01-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Delhi,
Sat Pal,Male,1936-07-15T00:00:00Z,Not Available,Not Available,1991-03-19T00:00:00Z,1998-07-14T00:00:00Z,No,No,Delhi,Yes,PunjabandHaryana,1994-09-01T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1970,Delhi,No,Yes,No,Delhi,
Jaspal Singh,Male,1936-07-17T00:00:00Z,Not Available,Not Available,1990-07-13T00:00:00Z,1998-07-16T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Arts,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,Delhi,
Ajay Prakash Misra,Male,1936-09-01T00:00:00Z,Not Available,Not Available,1984-05-24T00:00:00Z,2001-08-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,Yes,1997-12-04T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Science,Not Available,Not Available,1960,Uttar Pradesh,No,No,No,Delhi,
Suman Dattaram Pandit,Male,1936-10-06T00:00:00Z,Not Available,Not Available,1994-10-06T00:00:00Z,1998-09-02T00:00:00Z,No,Yes,Bombay,Yes,Delhi,1994-11-01T00:00:00Z,Gujarat,1996-04-20T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Maharashtra,Not Available,Not Available,Not Available,Delhi,
Lokeshwar Prasad,Male,1936-11-26T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,1998-11-25T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,Yes,No,Delhi,
Mahinder Narain,Male,1937-03-24T00:00:00Z,Not Available,Not Available,1985-07-04T00:00:00Z,1999-02-07T00:00:00Z,Yes,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1962,Delhi,No,Yes,No,Delhi,
Mohd. Shamim,Male,1937-12-30T00:00:00Z,Not Available,Not Available,1991-03-19T00:00:00Z,1999-12-29T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Agra University,Not Available,Not Available,Uttar Pradesh,No,Yes,No,Delhi,
J. B. Goel,Male,1938-08-05T00:00:00Z,Not Available,Not Available,1995-05-17T00:00:00Z,2000-08-04T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,Delhi,
K Ramamoorthy,Male,1939-03-13T00:00:00Z,Not Available,Not Available,1994-10-17T00:00:00Z,2001-03-12T00:00:00Z,No,No,Madras,Yes,Delhi,1994-11-30T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964,Tamil Not Availabledu,Not Available,Not Available,Not Available,Delhi,
Chander Mohan Nayar,Male,1939-09-23T00:00:00Z,Not Available,Not Available,1991-03-19T00:00:00Z,2000-09-23T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1962,Not Available,No,No,Yes,Delhi,
Vinod Sagar Aggarwal,Male,1940-08-20T00:00:00Z,Not Available,Not Available,1994-11-10T00:00:00Z,2002-08-19T00:00:00Z,No,No,Delhi,Yes,PunjabandHaryana,1994-11-30T00:00:00Z,Not Available,2001-06-02T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1962,Punjab and HaryaNot Available,No,No,No,Delhi,
Ramesh Chandra Lahoti,Male,1940-11-01T00:00:00Z,Not Available,Not Available,1988-05-03T00:00:00Z,2005-10-31T00:00:00Z,No,No,MadhyaPradesh,Yes,Delhi,1994-02-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Yes,1988-12-09T00:00:00Z,Bar,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Commerce,Not Available,Not Available,1962,Madhya Pradesh,No,No,No,Delhi,
Sam Nariman Variava,Male,1940-11-08T00:00:00Z,Not Available,Not Available,1986-11-21T00:00:00Z,2005-11-07T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Delhi,Not Applicable,Not Applicable,Yes,2000-03-15T00:00:00Z,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1964,Maharashtra,No,No,Yes,Delhi,
Sharda Aggarwal,Female,1940-12-01T00:00:00Z,Not Available,Not Available,2000-12-01T00:00:00Z,2002-11-30T00:00:00Z,No,No,Delhi,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Arts,Not Available,Not Available,1962,Delhi,No,No,No,Delhi,
