Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle,phc_updated,transfer_1_updated,transfer_2_updated,transfer_3_updated
Jayapal Amritrao Patil,Male,1941-12-26T00:00:00Z,NA,NA,1997-06-09T00:00:00Z,2003-12-26T00:00:00Z,No,No,NA,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,Arts,NA,NA,1965,Maharashtra & Goa,No,No,No,Bombay,NA,NA,NA,NA
K.R. SHRIRAM,Male,1963-09-28T00:00:00Z,Maharashtra,Mumbai,2013-06-21T00:00:00Z,2025-09-27T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,Mumbai University,Commerce,Mumbai University,NA,1986,Maharashtra & Goa,Yes,No,Yes,Bombay,Bombay,NA,NA,NA
Kailashchand Uttamchand Chandiwal,Male,1952-05-07T00:00:00Z,Aurangabad,NA,2008-04-16T00:00:00Z,2014-05-06T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,Aurangabad Govt College,Science,M.P. Law College,1976,1976,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
KAMALKISHOR KAPOORCHANDJI TATED,Male,1959-09-19T00:00:00Z,Maharashtra,Kingaon Jattoo,2008-07-18T00:00:00Z,2021-09-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,Lala Lajpatrai College,Commerce,Government Law College,1983,1983,Maharashtra,No,No,No,Bombay,Bombay,NA,NA,NA
Katy Keki Baam,Female,1940-12-15T00:00:00Z,NA,NA,1994-10-06T00:00:00Z,2002-11-15T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1964,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Kishor Jayram Rohee,Male,1947-01-06T00:00:00Z,NA,NA,2003-08-29T00:00:00Z,2009-01-06T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
M. G. SEWLIKAR,Male,1960-09-21T00:00:00Z,NA,NA,2019-12-05T00:00:00Z,2022-09-20T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"Modern College of Arts, Science and Commerce, Pune",Commerce,"I.L.S. Law College, Pune",NA,NA,NA,No,No,No,Bombay,Bombay,NA,NA,NA
M. N. JADHAV,Male,1969-08-14T00:00:00Z,Maharashtra,Mumbai,2019-08-23T00:00:00Z,2031-08-13T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"St. Teresa's High School, Charni Road, Mumbai","St. Xavier's College, Mumbai",Science (Life Science and Bio-Chemistry),"Government Law College, Mumbai",1996,1998,NA,No,No,Yes,Bombay,Bombay,NA,NA,NA
M. S. JAWALKAR,Female,1964-05-26T00:00:00Z,NA,NA,2019-12-05T00:00:00Z,2026-05-25T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Nagpur,NA,Integrated Law,"Dr. Babasaheb Ambedkar College of Law, Nagpur",1989,1989,Maharastra & Goa,No,Yes,Yes,Bombay,Bombay,NA,NA,NA
M. S. KARNIK,Male,1969-02-10T00:00:00Z,Maharashtra,Nashik,2016-03-17T00:00:00Z,2031-02-09T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,Pune University,1991,1991,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
M.N. GILANI,Male,1951-01-26T00:00:00Z,Maharashtra,Sayatkharda,2011-03-17T00:00:00Z,2013-01-25T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Ghatanji, Yavatmal",Amolakchand College,Science,"Uni college of law, Nagpur",NA,1975,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
M.S. SONAK,Male,1964-11-28T00:00:00Z,NA,NA,2013-06-21T00:00:00Z,2026-11-27T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"Don Bosco High School, Panaji",Dhempe College of Arts & Science,Science,"M. S. College of Law, Panaji",NA,1988,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
MADHAV. J. JAMDAR,Male,1967-01-13T00:00:00Z,NA,NA,2020-01-07T00:00:00Z,2029-01-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1991,NA,No,No,No,Bombay,Bombay,NA,NA,NA
MANGESH S. PATIL,Male,1963-07-27T00:00:00Z,NA,NA,2017-06-05T00:00:00Z,2025-07-26T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Bhonsla Military School, Nashik",NA,Commerce,"I.L.S. Law College, Pune",NA,1987,NA,No,No,Yes,Bombay,Bombay,NA,NA,NA
MANISH PITALE,Male,1970-09-11T00:00:00Z,Maharashtra,Nagpur,2017-06-05T00:00:00Z,2032-09-10T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"Hindu College, University of Delhi",Science,University of Delhi,NA,1995,NA,No,No,No,Bombay,Bombay,NA,NA,NA
Maroti Ganpati Gaikwad,Male,1945-10-24T00:00:00Z,NA,NA,2003-08-29T00:00:00Z,2007-10-24T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
N. B. SURYAWANSHI,Male,1966-05-30T00:00:00Z,NA,NA,2019-08-23T00:00:00Z,2028-05-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,Yes,"Jai Hind High School, Dhule",NA,NA,"Symbiosis Law College, Pune",NA,1988,NA,No,No,No,Bombay,Bombay,NA,NA,NA
N. J. JAMADAR,Male,1972-09-22T00:00:00Z,NA,NA,2018-10-11T00:00:00Z,2034-09-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"Shri Shahaji High School, Akkalkot, Dist. Solapur, D.A.V. Dayanand Law College, Solapur",NA,Science,NA,NA,1994,Maharastra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Neelkanth Vishwnath Dabholkar,Male,1947-05-23T00:00:00Z,Maharashtra,Ainatpur Taluka,1999-09-27T00:00:00Z,2009-05-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,"Tilaknagar, Ahmednagar",Pune University,Science,"I.L.S Law College, Pune",1972,NA,NA,No,No,No,Bombay,Bombay,NA,NA,NA
Nishita Nirmal Mhatre,Female,1955-09-20T00:00:00Z,NA,NA,2001-03-28T00:00:00Z,2017-09-19T00:00:00Z,No,No,Bombay,Yes,Calcutta,2011-12-27T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,"St.Mary's School, Pune",Sophia College,Microbiology,"GLC, Mumbai",NA,1978,Maharashtra & Goa,No,No,No,Bombay,Bombay,Calcutta,NA,NA
NITIN JAMDAR,Male,1964-01-10T00:00:00Z,NA,NA,2012-01-23T00:00:00Z,2026-01-09T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,University of Mumbai,Commerce,University of Mumbai,NA,1989,NA,No,No,No,Bombay,Bombay,NA,NA,NA
Nitin R. Borkar,Male,1971-08-02T00:00:00Z,NA,NA,2019-12-05T00:00:00Z,2033-08-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,No,No,No,No,Yes,Gondia,"Dr. Babasaheb Ambedkar College of Law, Nagpur",NA,NA,NA,1995,Maharastra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
NITIN W. SAMBRE,Male,1967-12-19T00:00:00Z,Maharashtra,Nagpur,2014-01-06T00:00:00Z,2029-12-18T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,Somalwar High School and Shivaji Science College,NA,Commerce,"University College of Law, Nagpur",NA,1992,NA,No,No,No,Bombay,Bombay,NA,NA,NA
P. D. NAIK,Male,1962-04-30T00:00:00Z,Goa,NA,2016-03-17T00:00:00Z,2024-04-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"St.Xavier's College, Goa",Arts,"Siddharth Law College, Mumbai",1986,1986,NA,No,No,Yes,Bombay,Bombay,NA,NA,NA
P. V. GANEDIWALA,Female,1969-03-11T00:00:00Z,NA,NA,2019-02-13T00:00:00Z,2031-03-10T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,1992,NA,No,Yes,Yes,Bombay,Bombay,NA,NA,NA
Pradeep Bhadrayulal Majumdar,Male,1950-09-09T00:00:00Z,NA,NA,1999-09-17T00:00:00Z,2012-09-08T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2007-04-10T00:00:00Z,Bombay,2008-04-25T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,M.S University Baroda,Commerce,M.S University Baroda,NA,1974,Gujarat,No,No,No,Bombay,Gujarat,Rajasthan,Bombay,NA
Pradeep Ramcgandra Borkar,Male,1948-08-01T00:00:00Z,NA,NA,2006-09-08T00:00:00Z,2010-07-31T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,Kolhapur,NA,NA,"Shahaji Law Clg,Kolhapur",NA,NA,NA,No,No,Yes,Bombay,Bombay,NA,NA,NA
Pramod Shantaram Brahme,Male,1945-03-27T00:00:00Z,NA,NA,1999-09-27T00:00:00Z,2007-03-27T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,Science,NA,NA,1968,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
PRASANNA BHALACHANDRA VARALE,Male,1962-06-23T00:00:00Z,Karnataka,Nipani,2008-07-18T00:00:00Z,2024-06-22T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,Dr.Babasaheb Ambedkar Marathwada University,Arts,Dr.Babasaheb Ambedkar Marathwada University,NA,1985,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Prasannakumar Vinayak Kakade,Male,1946-03-17T00:00:00Z,NA,NA,1999-12-23T00:00:00Z,2008-03-17T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Pratibha Upasani,Female,1940-10-29T00:00:00Z,NA,NA,1996-03-11T00:00:00Z,2002-10-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1962,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
PRITHVIRAJ K. CHAVAN,Male,1963-02-22T00:00:00Z,NA,NA,2017-06-05T00:00:00Z,2025-02-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,Yes,NA,"Shivaji University, Kolhapur",Science (Zoology),Nagpur University,1987,1987,NA,No,No,No,Bombay,Bombay,NA,NA,NA
Purushottam Bapurao Gaikwad,Male,1944-07-08T00:00:00Z,NA,NA,2002-12-23T00:00:00Z,2006-07-08T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,1970,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
R. G. AVACHAT,Male,1964-03-15T00:00:00Z,NA,NA,2018-10-11T00:00:00Z,2026-03-14T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,"Shirur (Ghodnadi), District Pune",NA,Commerce,"I.L.S. Law College, Pune",1987,1987,Maharastra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
R. I. CHAGLA,Male,1969-10-22T00:00:00Z,Maharashtra,Mumbai,2017-06-05T00:00:00Z,2031-10-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"H.R. College of Commerce and Economics, Mumbai University",Commerce & Arts,University of Cambridge - Downing College,1993,1993,Maharashtra & Goa,Yes,No,No,Bombay,Bombay,NA,NA,NA
R.G.Deshpande,Male,1941-08-08T00:00:00Z,NA,NA,1996-04-15T00:00:00Z,2003-08-08T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1969,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Rajan Jodhraj Kochar,Male,1941-10-21T00:00:00Z,NA,NA,1997-12-05T00:00:00Z,2003-10-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1969,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
Rajiv Shyamrao Mohite,Male,1956-12-06T00:00:00Z,NA,NA,2001-10-12T00:00:00Z,NA,NA,NA,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,King Georges Schoo;,K.J.Somaiya College,Science,"GLC, Mumbai",NA,1978,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Rajneet Kumar Batta,Male,1941-09-03T00:00:00Z,NA,NA,1995-12-05T00:00:00Z,2021-09-03T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1966,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
RAMESH DEOKINANDAN DHANUKA,Male,1961-05-31T00:00:00Z,Maharastra,NA,2012-01-23T00:00:00Z,2023-05-30T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,University of Bombay,Commerce,University of Bombay,1985,1985,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Ranjana Prakash Desai,Female,1949-10-30T00:00:00Z,NA,NA,1996-04-15T00:00:00Z,2014-10-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,Yes,2011-09-13T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,NA,"Elphinstone, Bombay",Economics & Politics,"GLC, Mumbai",1973,1973,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
RAVINDRA V. GHUGE,Male,1966-07-09T00:00:00Z,NA,NA,2013-06-21T00:00:00Z,2028-07-08T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,Yes,No,Saint Xavier's High School Kolhapur,NA,Integrated Law,"Chh.Shahaji Law College, Kolhapur & M.P.Law College, Aurangabad",NA,1990,NA,No,No,No,Bombay,Bombay,NA,NA,NA
REVATI MOHITE DERE,Female,1965-04-17T00:00:00Z,NA,NA,2013-06-21T00:00:00Z,2027-04-16T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,Yes,"St. Joseph's High School, Pashan, Pune; Ferguson College (Arts), Pune",NA,Integrated Law,"Symbiosis Law College, Pune",NA,1988,NA,Yes,No,Yes,Bombay,Bombay,NA,NA,NA
RMS KHANDEPARKAR,Male,1946-08-15T00:00:00Z,NA,NA,1996-04-12T00:00:00Z,2008-08-15T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,1973,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
Rohit Baban Deo,Male,1963-12-05T00:00:00Z,NA,NA,2017-06-05T00:00:00Z,2025-12-04T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1986,Maharastra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
S. D. KULKARNI,Male,1960-11-02T00:00:00Z,NA,NA,2020-01-14T00:00:00Z,2022-11-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,"G.A. College of Commerce, Sangli",Commerce,"N.S. Law College, Sangli",1984,1985,Maharastra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
S. M. MODAK,Male,1965-11-13T00:00:00Z,Maharashtra,Kalyan (District: Thane),2018-10-11T00:00:00Z,2027-11-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,V.P. M's Bedekar College of Commerce,Commerce,Thane Law College,1989,1989,NA,No,No,No,Bombay,Bombay,NA,NA,NA
S. P. TAVADE,Male,1960-03-05T00:00:00Z,NA,NA,2019-12-05T00:00:00Z,2022-03-04T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Commerce,NA,NA,NA,NA,No,No,No,Bombay,Bombay,NA,NA,NA
S. V. KOTWAL,Male,1968-04-13T00:00:00Z,Gujarat,Ahmedabad,2017-06-05T00:00:00Z,2030-04-12T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Dhule,Pune University,Engineering,"Siddharth Law College, Mumbai",NA,1992,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
S.B. DESHMUKH,Male,1951-06-22T00:00:00Z,Maharashtra,Ahmednagar,2003-06-17T00:00:00Z,2013-06-21T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,Mandavgan,New Law College,Arts,Pune University,1978,1979,Maharashtra & Goa,No,Yes,No,Bombay,Bombay,NA,NA,NA
S.B. SHUKRE,Male,1961-10-25T00:00:00Z,NA,NA,2013-05-13T00:00:00Z,2023-10-24T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,Pune University,Commerce,"Dr. Punjabrao Deshmukh Law College, Amravati",1983,NA,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
S.B.MHASE,Male,1947-10-28T00:00:00Z,NA,NA,1996-04-15T00:00:00Z,2009-10-28T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1971,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
S.C. GUPTE,Male,1959-06-30T00:00:00Z,NA,NA,2013-06-21T00:00:00Z,2021-06-29T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,Chembur High School,"Ruia College, Mumbai",NA,"New Law College, Mumbai",1981,1981,Maharashtra & Goa,No,Yes,No,Bombay,Bombay,NA,NA,NA
S.C.MALTE,Male,NA,NA,NA,1994-10-06T00:00:00Z,NA,No,No,Bombay,Yes,Punjab & Haryana,1994-11-01T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,1960,NA,No,Yes,Yes,Bombay,Bombay,PunjabandHaryana,NA,NA
S.P. DESHMUKH,Male,1959-09-28T00:00:00Z,NA,NA,2012-01-23T00:00:00Z,2021-09-27T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,NA,Marathwada University,Science,Bombay University,NA,1986,Maharastra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
S.P.DAVARE,Male,1951-04-06T00:00:00Z,Maharashtra,NA,1993-02-10T00:00:00Z,2013-04-05T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,Yes,No,No,"NMV, Pune","S.P. College, Pune",Arts (Psychology),ILS Law College,NA,NA,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
S.Radhakrishnan,Male,1946-12-25T00:00:00Z,NA,NA,1996-04-15T00:00:00Z,2008-12-25T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1971,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
S.S.PARKAR,Male,1943-10-01T00:00:00Z,NA,NA,1996-04-15T00:00:00Z,2005-10-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,1968,Maharashtra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
SADHANA S. JADHAV,Female,1960-06-14T00:00:00Z,NA,NA,2012-01-23T00:00:00Z,2022-06-13T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,Yes,"St. Joseph's High school, Solapur and St. Anne's High School, Pune","Fergusson College, Pune",Arts (Political Science),"Symbiosis College, Pune",NA,NA,NA,No,Yes,Yes,Bombay,Bombay,NA,NA,NA
Sakharam Gopalrao Mahajan,Male,1942-11-02T00:00:00Z,NA,NA,1999-09-27T00:00:00Z,2004-11-02T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,1967,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
SAMBHAJI SHIWAJI SHINDE,Male,1960-08-02T00:00:00Z,NA,NA,2008-03-11T00:00:00Z,2022-08-01T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",NA,1987,Maharashtra & Goa,Yes,No,Yes,Bombay,Bombay,NA,NA,NA
"Sandeep Kashinath Shinde,",Male,1961-01-17T00:00:00Z,NA,NA,2017-06-05T00:00:00Z,2023-01-16T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Commerce,NA,NA,1984,Maharastra & Goa,No,No,Yes,Bombay,Bombay,NA,NA,NA
SANJAY VIJAYKUMAR GANGAPURWALA,Male,1962-05-24T00:00:00Z,NA,NA,2010-03-13T00:00:00Z,2024-05-23T00:00:00Z,No,No,Bombay,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Commerce,NA,NA,1985,Maharashtra & Goa,No,No,No,Bombay,Bombay,NA,NA,NA
