Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Siddharth,Male,1965-04-15T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2027-04-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Allahabad University,NA,Allahabad University,1990,1991,Uttar Pradesh,No,No,No,Allahabad
Siddharth Varma,Male,1967-09-19T00:00:00Z,Uttar Pradesh,NA,2016-11-15T00:00:00Z,2029-09-18T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1992,1992,Uttar Pradesh,No,Yes,No,Allahabad
Sohan Lal Saraf,Male,1937-06-04T00:00:00Z,NA,NA,1994-12-19T00:00:00Z,1999-06-03T00:00:00Z,No,No,Calcutta,Yes,Gauhati,1995-01-09T00:00:00Z,Allahabad,1997-03-03T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
Suresh Kumar Gupta,Male,1961-06-21T00:00:00Z,NA,NA,2018-11-22T00:00:00Z,2023-06-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Allahabad University,1982,1983,Uttar Pradesh,No,No,No,Allahabad
Subhash Chand,Male,1963-01-01T00:00:00Z,NA,NA,2020-09-16T00:00:00Z,2024-12-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Allahabad
Subhash Chandra Agarwal,Male,1951-09-05T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-09-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Agra University,1972,NA,NA,No,No,No,Allahabad
Subhash Chandra Nigam,Male,1948-07-01T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-06-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,GRADUATED IN SCIENCE IN THE YEAR 1967 AND PASSED LLB IN THE YEAR 1971,NA,Science,NA,1971,NA,NA,No,No,No,Allahabad
Subhash Chandra Sharma,Male,1964-10-04T00:00:00Z,NA,NA,2020-09-16T00:00:00Z,2026-10-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988,NA,NA,No,No,No,Allahabad
Sudhir Agarwal,Male,1958-04-24T00:00:00Z,Uttar Pradesh,NA,2005-10-05T00:00:00Z,2020-04-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,Yes,NA,Yes,No,No,No,No,GRADUATED IN SCIENCE IN THE YEAR 1977 FOM AGRA UNIVERSITY AND PASSED LLB FROM AGRA UNIVERSITY IN THE YEAR 1980,Agra University,SCIENCE,Meerut University,1980,1980,NA,No,No,No,Allahabad
Sudhir Kumar Saxena,Male,1954-07-04T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2016-07-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,Yes,No,No,No,No,NA,NA,NA,NA,1976,1976,Uttar Pradesh,No,No,No,Allahabad
Suneet Kumar,Male,1961-05-29T00:00:00Z,NA,NA,2013-09-29T00:00:00Z,2023-05-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1989,1992,Uttar Pradesh,No,Yes,No,Allahabad
Sunil Ambwani,Male,1953-08-23T00:00:00Z,Uttar Pradesh,NA,2001-04-24T00:00:00Z,2015-08-21T00:00:00Z,No,No,Allahabad,Yes,Rajasthan,2014-07-30T00:00:00Z,NA,NA,NA,NA,Yes,Rajasthan,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW FROM ALLAHABAD UNIVERSITY,Allahabad University,NA,ALLAHABAD UNIVERSITY,1975,1976,NA,No,No,No,Allahabad
Sunil Hali,Male,1951-02-22T00:00:00Z,Jammu & Kashmir,NA,2008-03-15T00:00:00Z,2013-02-21T00:00:00Z,No,No,J&K and Ladakh,Yes,Allahabad,2011-07-04T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,Jammu University,Science,Jammu University,1973,NA,Jammu & Kashmir,No,No,No,Allahabad
Sunita Agarwal,Female,1966-04-30T00:00:00Z,NA,NA,2011-11-21T00:00:00Z,2028-04-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,Science,Awadh University,1989,1990,Uttar Pradesh,No,No,No,Allahabad
Surendra Kumar,Male,1951-08-07T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2013-08-06T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Meerut University,1976,1977,NA,No,No,No,Allahabad
Surendra Singh,Male,1952-11-11T00:00:00Z,Uttar Pradesh,NA,2008-05-05T00:00:00Z,2014-11-10T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN LAW FROM ALLAHABAD UNIVERSITY IN THE YEAR 1976,NA,NA,Allahabad University,1976,1976,Uttar Pradesh,No,No,No,Allahabad
Surendra Vikram Rathore,Male,1954-08-15T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2016-08-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,No,No,No,Allahabad
Suresh Chaurasia,Male,1950-07-21T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2012-07-20T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN LAW IN THE YEAR 1971 AGRA COLLEGE,NA,NA,AGRA COLLEGE,1971,1972,Uttar Pradesh,No,No,No,Allahabad
Surya Prakash Kesarwani,Male,1962-07-15T00:00:00Z,NA,NA,2013-04-12T00:00:00Z,2024-07-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1985,1985,Uttar Pradesh,No,No,No,Allahabad
Sushil Harkauli,Male,1951-08-02T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2013-08-02T00:00:00Z,No,No,Allahabad,Yes,Jharkhand,2009-07-01T00:00:00Z,Madhya Pradesh,2006-06-30T00:00:00Z,Allahabad,2012-10-10T00:00:00Z,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Allahabad University,NA,Allahabad University,NA,1976,NA,No,No,No,Allahabad
Sushil Kumar Jain,Male,1933-10-30T00:00:00Z,NA,NA,1992-03-18T00:00:00Z,1995-10-30T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Syed Husain Rizvi,Male,1962-04-14T00:00:00Z,NA,NA,2021-03-25T00:00:00Z,2024-04-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Syed Nazim Husain Zaidi,Male,1949-02-02T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-02-01T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN LAW FROM ALIGARH MUSLIM UNIVERSITY IN 1973,Lucknow University,NA,ALIGARH MUSLIM UNIVERSITY,1973,NA,NA,No,No,Yes,Allahabad
Syed Alam,Male,1950-08-08T00:00:00Z,Jharkhand,NA,1994-11-08T00:00:00Z,2012-08-07T00:00:00Z,No,No,Patna,Yes,Allahabad,1994-04-28T00:00:00Z,NA,NA,NA,NA,Yes,Madhya Pradesh,Allahabad,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,St. Columbus College Hazaribagh,Arts,Patna Law College,1974,1975,Bihar,No,No,No,Allahabad
Tarun Agarwala,Male,1956-03-03T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2018-03-02T00:00:00Z,No,No,Allahabad,Yes,Uttarakhand,2009-09-25T00:00:00Z,Allahabad,2012-10-03T00:00:00Z,Meghalaya,2018-02-12T00:00:00Z,Yes,Meghalaya,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN ARTS IN THE YEAR 1978 FROM ALLAHABAD UNIVERSITY AND LAW FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSIRTY,NA,1981,Uttar Pradesh,No,No,No,Allahabad
Tej Pal Garg,Male,1936-01-14T00:00:00Z,NA,NA,1994-06-20T00:00:00Z,1998-01-14T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Allahabad
Tej Shanker,Male,NA,NA,NA,1994-02-01T00:00:00Z,1999-04-05T00:00:00Z,No,No,Allahabad,Yes,Madhya Pradesh,1994-02-14T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allahabad
Udai Dhaon,Male,1947-07-20T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2009-07-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,NA,Science,NA,NA,1972,Uttar Pradesh,No,No,No,Allahabad
Uma Nath Singh,Male,1954-01-15T00:00:00Z,Uttar Pradesh,NA,2001-10-22T00:00:00Z,2016-01-14T00:00:00Z,No,No,Madhya Pradesh,Yes,Punjab and Harayana,2004-12-02T00:00:00Z,Allahabad,2009-06-30T00:00:00Z,NA,NA,Yes,Meghalaya,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,No,No,NA,Allahabad University,Political Science,Allahabad University,1980,1982,Delhi,No,No,No,Allahabad
Uma Shankar Tripathi,Male,1942-07-04T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2004-07-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,Allahabad University,Arts,Allahabad University,NA,NA,NA,No,No,No,Allahabad
Umesh Chandra Srivastava,Male,1956-07-25T00:00:00Z,Uttar Pradesh,NA,2016-04-07T00:00:00Z,2018-07-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Gorakhpur University,1977,NA,NA,No,No,No,Allahabad
Umesh Kumar,Male,1960-07-08T00:00:00Z,NA,NA,2018-11-22T00:00:00Z,2022-07-07T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1980,NA,NA,No,No,No,Allahabad
Umeshwar Pandey,Male,1945-04-01T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2007-03-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1966 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,NA,NA,No,Yes,No,Allahabad
Vashishth Kumar Chaturvedi,Male,1945-09-10T00:00:00Z,NA,NA,1999-03-26T00:00:00Z,2007-09-09T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1971,Uttar Pradesh,NA,NA,NA,Allahabad
Ved Pal,Male,1949-07-02T00:00:00Z,Uttar Pradesh,NA,2008-07-21T00:00:00Z,2011-07-01T00:00:00Z,NA,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Ved Prakash Vaish,Male,1959-06-27T00:00:00Z,NA,NA,2013-04-17T00:00:00Z,2021-06-26T00:00:00Z,No,No,Delhi,Yes,Meghalaya,2016-05-23T00:00:00Z,Allahabad,2017-11-27T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,No,No,No,No,No,NA,NA,NA,Delhi University,1984,1984,Delhi,No,No,No,Allahabad
Venkteshwar Singh,Male,1943-07-22T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2005-07-21T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,GRADUATED IN ARTS IN THE YEAR 1961 FROM BANARAS HINDU UNIVERSITY AND PASSED LLB IN THE YEAR 1963 FROM GORAKHPUR UNIVERSITY,Banaras Hindu University,Arts,GORAKHPUR UNIVERSITY,1963,1963,NA,No,No,No,Allahabad
Vijai Bajpai,Male,1945-01-15T00:00:00Z,Uttar Pradesh,NA,2002-07-05T00:00:00Z,2007-01-14T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATED IN ARTS IN THE YEAR 1964 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1968 FROM AGRA UNIVERSITY,Allahabad University,Arts,AGRA UNIVERSITY,1968,NA,NA,No,Yes,No,Allahabad
Vijay Kumar Verma,Male,1948-03-23T00:00:00Z,Uttar Pradesh,NA,2006-11-20T00:00:00Z,2010-03-22T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,GRADUATED IN ARTS IN THE YEAR 1965  AND PASSED LLB IN THE YEAR 1972,NA,Arts,NA,1972,NA,NA,No,No,No,Allahabad
Vijay Lakshmi,Female,1956-10-29T00:00:00Z,Uttar Pradesh,NA,2014-02-03T00:00:00Z,2018-10-28T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Banaras Hindu University,1977,1977,Uttar Pradesh,No,No,Yes,Allahabad
Vijay Manahor Sahai,Male,1953-08-13T00:00:00Z,NA,NA,1999-02-05T00:00:00Z,2015-08-12T00:00:00Z,No,No,Allahabad,Yes,Gujarat,2010-10-27T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,Yes,NA,Allahabad University,NA,Allahabad University,1975,1976,Uttar Pradesh,No,No,No,Allahabad
Vijay Prakash Pathak,Male,1954-05-05T00:00:00Z,Uttar Pradesh,NA,2011-09-05T00:00:00Z,2016-05-04T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Allahabad University,1977,1977,NA,No,No,No,Allahabad
Vikas Kunvar Srivastav,Male,1960-06-28T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2022-06-27T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,Yes,No,NA,NA,NA,Gorakpur University,1983,1984,Uttar Pradesh,No,No,No,Allahabad
Vikram Nath,Male,1962-09-24T00:00:00Z,Uttar Pradesh,NA,2004-09-24T00:00:00Z,2024-09-23T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,Yes,Gujarat,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN SCIENCE IN THE YEAR 1983 AND  LAW IN THE YEAR 1986,NA,Science,NA,1986,1987,Uttar Pradesh,No,No,No,Allahabad
Vimlesh Kumar Shukla,Male,1955-06-03T00:00:00Z,Uttar Pradesh,NA,2002-12-21T00:00:00Z,2017-06-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN THE ARTS YEAR 1977 FROM ALLAHABAD UNIVERSITY AND PASSED LLB IN THE YEAR 1980 FROM ALLAHABAD UNIVERSITY,Allahabad University,Arts,Allahabad University,1980,1981,Uttar Pradesh,No,No,No,Allahabad
Vinay Kumar Mathur,Male,1951-09-14T00:00:00Z,NA,NA,2011-09-05T00:00:00Z,2013-09-13T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1976,NA,NA,No,No,No,Allahabad
Vineet Saran,Male,1957-05-11T00:00:00Z,Rajasthan,NA,2002-02-14T00:00:00Z,2022-05-10T00:00:00Z,No,No,Allahabad,Yes,Karnataka,2015-02-16T00:00:00Z,NA,NA,NA,NA,Yes,Orissa,NA,NA,Yes,2018-08-07T00:00:00Z,Bar,No,Yes,No,NA,Yes,No,Yes,Yes,No,GRADUATED FROM ALLAHABAD UNIVERSITY,Allahabad University,NA,ALLAHABAD UNIVERSITY,1979,1980,Uttar Pradesh,No,No,No,Allahabad
Vinod Chandra Misra,Male,1946-01-30T00:00:00Z,Uttar Pradesh,NA,2004-01-07T00:00:00Z,2008-01-29T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUTED IN ARTS AND LAW 4 MONTHS DIPLOMA HOLDER IN B.M.S,NA,Arts,NA,NA,1972,Uttar Pradesh,No,No,No,Allahabad
Vinod Kumar Misra,Male,1956-01-03T00:00:00Z,Uttar Pradesh,NA,2015-02-18T00:00:00Z,2018-01-02T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1977,NA,NA,No,No,No,Allahabad
Vinod Kumar Srivastava-III,Male,1956-03-25T00:00:00Z,Uttar Pradesh,NA,2016-04-07T00:00:00Z,2017-08-11T00:00:00Z,Yes,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Gorakhpur University,1977,NA,NA,No,No,No,Allahabad
Vinod Prasad,Male,1954-11-28T00:00:00Z,Uttar Pradesh,NA,2005-10-05T00:00:00Z,2016-11-27T00:00:00Z,No,No,Allahabad,Yes,Orissa,2014-07-01T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,GRADUATED IN  LAW FROM ALLAHABAD UNIVERSITY,NA,NA,ALLAHABAD UNIVERSITY,NA,1982,Uttar Pradesh,No,No,No,Allahabad
Vipin Chandra Dixit,Male,1963-07-01T00:00:00Z,NA,NA,2019-12-12T00:00:00Z,2025-06-30T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,No,Yes,No,NA,Awadh University,Arts,Allahabad University,1986,1986,Uttar Pradesh,No,No,No,Allahabad
Vipin Sinha,Male,1958-01-12T00:00:00Z,Uttar Pradesh,NA,2013-04-12T00:00:00Z,2020-01-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Allahabad University,1983,1985,NA,No,No,No,Allahabad
Virendra Kumar Dixit,Male,1951-03-12T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2013-03-11T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,Yes,Yes,No,No,No,No,NA,Kanpur University,Science,Kanpur University,1973,1973,NA,Yes,No,No,Allahabad
Virendra Kumar Srivastava,Male,1962-01-01T00:00:00Z,Uttar Pradesh,NA,2018-11-22T00:00:00Z,2021-04-28T00:00:00Z,Yes,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986,NA,NA,No,No,Yes,Allahabad
Virendra Kumar-II,Male,1959-04-08T00:00:00Z,Uttar Pradesh,NA,2016-11-15T00:00:00Z,2021-04-07T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Meerut University,1980,1980,Uttar Pradesh,No,No,No,Allahabad
Virendra Singh,Male,1949-01-04T00:00:00Z,Uttar Pradesh,NA,2009-04-13T00:00:00Z,2011-01-03T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Meerut University,1972,NA,NA,No,No,No,Allahabad
Virendra Singh,Male,1952-11-23T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2014-11-22T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,NA,NA,NA,Kanpur University,1973,1974,Uttar Pradesh,No,No,No,Allahabad
Vishnu Chandra Gupta,Male,1953-07-20T00:00:00Z,Uttar Pradesh,NA,2012-04-17T00:00:00Z,2015-07-19T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,Yes,No,No,No,No,No,No,No,"S.N. Inter College, Pilibhit",U.M.Vidhiylaya (Agra University),NA,Bareilly College (Rohilkhand University),1975,1976,Uttar Pradesh,No,No,No,Allahabad
Vishnu Vishnu Sahai,Male,1942-12-30T00:00:00Z,NA,NA,1994-02-01T00:00:00Z,2004-12-29T00:00:00Z,No,No,Allahabad,Yes,Bombay,1994-02-21T00:00:00Z,Allahabad,2002-04-08T00:00:00Z,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,1968,Uttar Pradesh,No,No,No,Allahabad
Vishwa Chaturvedi,Male,1947-09-01T00:00:00Z,Uttar Pradesh,NA,2006-01-16T00:00:00Z,2009-08-31T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,POST GRADUATEDIN THE YEAR 1971 AND PASSED LLB IN THE YEAR 1972,NA,NA,NA,1972,NA,NA,No,No,No,Allahabad
Vivek Agrawal,Male,1967-06-28T00:00:00Z,Uttar Pradesh,Kasganj,2016-04-07T00:00:00Z,2029-06-27T00:00:00Z,No,No,Madhya Pradesh,Yes,Allahabad,2019-10-17T00:00:00Z,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,No,Allahabad
Vivek Chaudhary,Male,1966-05-13T00:00:00Z,NA,NA,2017-02-20T00:00:00Z,2028-05-12T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,Meerut University,1988,1998,NA,No,No,No,Allahabad
Vivek Kumar Birla,Male,1963-09-18T00:00:00Z,NA,NA,2014-02-03T00:00:00Z,2025-09-17T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,Yes,No,Yes,No,No,NA,NA,Commerce,NA,NA,1986,NA,No,No,No,Allahabad
Vivek Kumar Singh,Male,1968-03-25T00:00:00Z,NA,NA,2017-09-22T00:00:00Z,2030-03-24T00:00:00Z,No,No,Allahabad,No,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,No,NA,Bar,No,Yes,No,NA,No,No,No,No,No,NA,NA,NA,"A.P.S. University, Rewa",1993,1993,Madhya Pradesh,No,No,No,Allahabad
