Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,fileTitle
Rajan Jodhraj Kochar,Male,1941-10-21T00:00:00Z,Not Available,Not Available,1997-12-05T00:00:00Z,2003-10-21T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1969,Maharashtra & Goa,No,No,Yes,Bombay
Jayapal Amritrao Patil,Male,1941-12-26T00:00:00Z,Not Available,Not Available,1997-06-09T00:00:00Z,2003-12-26T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Arts,not available,not available,1965,Maharashtra & Goa,No,No,No,Bombay
Bhalchandra Bapusaheb Vagyani,Male,1942-06-02T00:00:00Z,Not Available,Not Available,1997-06-09T00:00:00Z,2004-06-02T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1996,Maharashtra & Goa,No,No,No,Bombay
Sakharam Gopalrao Mahajan,Male,1942-11-02T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2004-11-02T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1967,Maharashtra & Goa,No,No,No,Bombay
S.S.PARKAR,Male,1943-10-01T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,2005-10-01T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Maharashtra & Goa,No,No,Yes,Bombay
Aloysius Stanislaus Aguiar,Male,1943-10-08T00:00:00Z,Not Available,Not Available,2001-03-28T00:00:00Z,2005-10-08T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1969,Maharashtra & Goa,No,No,No,Bombay
Anil Bhalchandra Naik,Male,1943-10-27T00:00:00Z,Not Available,Not Available,2001-01-22T00:00:00Z,2005-10-27T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1970,Maharashtra & Goa,No,No,No,Bombay
Purushottam Bapurao Gaikwad,Male,1944-07-08T00:00:00Z,Not Available,Not Available,2002-12-23T00:00:00Z,2006-07-08T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1970,Maharashtra & Goa,No,No,No,Bombay
Dinkar Shankarrao Zoting,Male,1944-11-24T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2006-11-24T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Science,not available,not available,1970,Maharashtra & Goa,No,No,No,Bombay
Pramod Shantaram Brahme,Male,1945-03-27T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2007-03-27T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Science,not available,not available,1968,Maharashtra & Goa,No,No,No,Bombay
Amerjeet Singh Bagga,Male,1945-04-08T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2008-04-08T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Commerce,not available,not available,not available,Maharashtra & Goa,No,No,No,Bombay
Suresh Kantilal Shah,Male,1945-05-11T00:00:00Z,Not Available,Not Available,1999-09-27T00:00:00Z,2007-05-11T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Commerce,not available,not available,1969,Maharashtra & Goa,No,No,No,Bombay
Vijay Ganesh Munshi,Male,1945-05-11T00:00:00Z,Not Available,Not Available,2002-11-20T00:00:00Z,2007-05-11T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1972,Maharashtra & Goa,No,No,No,Bombay
D.G.DESHPANDE,Male,1945-06-28T00:00:00Z,Not Available,Not Available,1996-03-11T00:00:00Z,2007-06-28T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1969,Maharashtra & Goa,No,No,No,Bombay
Maroti Ganpati Gaikwad,Male,1945-10-24T00:00:00Z,Not Available,Not Available,2003-08-29T00:00:00Z,2007-10-24T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Maharashtra & Goa,No,No,No,Bombay
Shrikant Raghunath Sathe,Male,1945-12-01T00:00:00Z,Not Available,Not Available,2003-08-29T00:00:00Z,2007-12-01T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Commerce,not available,not available,1970,Maharashtra & Goa,No,No,No,Bombay
Prasannakumar Vinayak Kakade,Male,1946-03-17T00:00:00Z,Not Available,Not Available,1999-12-23T00:00:00Z,2008-03-17T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Maharashtra & Goa,No,No,No,Bombay
RMS KHANDEPARKAR,Male,1946-08-15T00:00:00Z,Not Available,Not Available,1996-04-12T00:00:00Z,2008-08-15T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1973,Maharashtra & Goa,No,No,No,Bombay
S.Radhakrishnan,Male,1946-12-25T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,2008-12-25T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1971,Maharashtra & Goa,No,No,Yes,Bombay
Kishor Jayram Rohee,Male,1947-01-06T00:00:00Z,Not Available,Not Available,2003-08-29T00:00:00Z,2009-01-06T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1968,Maharashtra & Goa,No,No,Yes,Bombay
Neelkanth Vishwnath Dabholkar,Male,1947-05-23T00:00:00Z,Maharashtra,Ainatpur Taluka,1999-09-27T00:00:00Z,2009-05-23T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Tilaknagar, Ahmednagar",Pune University,Science,"I.L.S Law College, Pune",1972,Not Applicable,Not Applicable,No,No,No,Bombay
S.B.MHASE,Male,1947-10-28T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,2009-10-28T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1971,Maharashtra & Goa,No,No,No,Bombay
Pradeep Ramcgandra Borkar,Male,1948-08-01T00:00:00Z,Not Available,Not Available,2006-09-08T00:00:00Z,2010-07-31T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,"Shahaji Law Clg,Kolhapur",not available,not available,not available,No,No,Yes,Bombay
V.R.KINGAONKAR,Male,1949-01-31T00:00:00Z,Not Available,Not Available,2006-02-27T00:00:00Z,2011-01-30T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,"Sarwasti Bhuvan, Jalna",R.B.Bagadia &R. Bezanji,Science,"M.P. Law College, Aurangabad",not available,1971,Maharashtra & Goa,No,No,Yes,Bombay
V.C.DAGA,Male,1949-02-18T00:00:00Z,Not Available,Not Available,1999-12-13T00:00:00Z,2011-02-18T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1972,Maharashtra & Goa,No,Yes,No,Bombay
Surinder Singh Nijjar,Male,1949-06-07T00:00:00Z,Punjab,Bhar Singh Pura,1996-06-08T00:00:00Z,2011-06-07T00:00:00Z,No,No,Punjab and Haryana,Yes,Bombay,1996-04-26T00:00:00Z,PunjabandHaryana,2000-08-07T00:00:00Z,Not Applicable,Not Applicable,Yes,Calcutta,Not Applicable,Not Applicable,Yes,2009-11-17T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,Yes,Not Available,Not Available,Not Available,Not Available,not available,not available,University of London,1972,1977,Punjab & Haryana,Yes,No,No,Bombay
F.I.REBELLO,Male,1949-07-31T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,Not Available,Not Available,Not Available,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,Science,"GLC, Mumbai",not available,1973,Maharashtra & Goa,No,No,No,Bombay
Ranjana Prakash Desai,Female,1949-10-30T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,2014-10-29T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Yes,2011-09-13T00:00:00Z,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,"Elphinstone, Bombay",Economics & Politics,"GLC, Mumbai",1973,1973,Maharashtra & Goa,No,No,No,Bombay
J.H. BHATIA,Male,1950-03-07T00:00:00Z,Not Available,Not Available,2005-06-22T00:00:00Z,2012-03-06T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Khalsa High School,Peoples College nanded,Commerce,"Law College, nanded",1973,1973,Maharashtra & Goa,No,No,Yes,Bombay
D.K. DESHMUKH,Male,1950-03-30T00:00:00Z,Not Available,Not Available,1998-04-12T00:00:00Z,2012-03-29T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,not available,not available,not available,not available,1973,Maharashtra & Goa,No,No,No,Bombay
D.G. KARNIK,Male,1950-05-10T00:00:00Z,Not Available,Not Available,2001-10-12T00:00:00Z,2012-05-09T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,"B.S.C.,LL.B",not available,Pune University,not available,1972,Maharashtra & Goa,No,No,No,Bombay
A.V.POTDAR,Male,1950-09-02T00:00:00Z,Maharashtra,Sangli,2009-02-10T00:00:00Z,2012-09-01T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Pune,not available,not available,"Shivaji University, Kolhapur",not available,1982,Maharashtra,No,No,No,Bombay
Pradeep Bhadrayulal Majumdar,Male,1950-09-09T00:00:00Z,Not Available,Not Available,1999-09-17T00:00:00Z,2012-09-08T00:00:00Z,No,No,Gujarat,Yes,Rajasthan,2007-04-10T00:00:00Z,Bombay,2008-04-25T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,M.S University Baroda,Commerce,M.S University Baroda,not available,1974,Gujarat,No,No,No,Bombay
D.D. SINHA,Male,1950-12-24T00:00:00Z,Not Available,Not Available,1996-04-15T00:00:00Z,2012-12-23T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Not Available,not available,not available,nagpur University,not available,1974,Maharashtra & Goa,No,No,No,Bombay
M.N. GILANI,Male,1951-01-26T00:00:00Z,Maharashtra,Sayatkharda,2011-03-17T00:00:00Z,2013-01-25T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,"Ghatanji, Yavatmal",Amolakchand College,Science,"Uni college of law, nagpur",not available,1975,Maharashtra & Goa,No,No,No,Bombay
J.P. DEVADHAR,Male,1951-04-08T00:00:00Z,Not Available,Not Available,2001-10-12T00:00:00Z,2013-04-07T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,"Ankola,Dist.North Kanara",Karnataka University,Science,Mumbai University,not available,1977,Maharashtra & Goa,No,No,Yes,Bombay
S.B. DESHMUKH,Male,1951-06-22T00:00:00Z,Maharashtra,Ahmednagar,2003-06-17T00:00:00Z,2013-06-21T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Mandavgan,New Law College,Arts,Pune University,1978,1979,Maharashtra & Goa,No,Yes,No,Bombay
Kailashchand Uttamchand Chandiwal,Male,1952-05-07T00:00:00Z,Maharashtra,Aurangabad,2008-04-16T00:00:00Z,2014-05-06T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,Aurangabad Govt College,Science,M.P. Law College,1976,1976,Maharashtra & Goa,No,No,No,Bombay
Anil Yashwantrao Sakhare,Male,1954-05-26T00:00:00Z,Not Available,Not Available,1997-05-10T00:00:00Z,Not Available,Not Available,Not Available,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Rajaram College,Kolhapur",not available,Shahaji Law College,not available,1976,Maharashtra & Goa,No,No,No,Bombay
Yogendra Shriniwas Jahagirdar,Male,1954-06-16T00:00:00Z,Not Available,Not Available,1997-05-10T00:00:00Z,Not Available,Not Available,Not Available,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,nagpur University,Science,Pune University,1977,1977,Maharashtra & Goa,No,No,No,Bombay
Shiavax Jal Vazifdar,Male,1956-05-04T00:00:00Z,Not Available,Not Available,2001-01-22T00:00:00Z,2018-05-03T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,PunjabandHaryana,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Rishi Valley School,St. Xaviers Bombay,not available,Hinduja Law College,not available,1980,Maharashtra & Goa,No,No,No,Bombay
Rajiv Shyamrao Mohite,Male,1956-12-06T00:00:00Z,Not Available,Not Available,2001-10-12T00:00:00Z,Not Available,Not Available,Not Available,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,King Georges Schoo;,K.J.Somaiya College,Science,"GLC, Mumbai",not available,1978,Maharashtra & Goa,No,No,No,Bombay
B. U. DEBADWAR,Male,1959-06-17T00:00:00Z,Not Available,Not Available,2019-12-05T00:00:00Z,2021-06-16T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,Not Available,"People's College, nanded",Commerce,"Law College, nanded",not available,1985,Maharastra & Goa,No,No,No,Bombay
S.C. GUPTE,Male,1959-06-30T00:00:00Z,Not Available,Not Available,2013-06-21T00:00:00Z,2021-06-29T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Chembur High School,"Ruia College, Mumbai",not available,"New Law College, Mumbai",1981,1981,Maharashtra & Goa,No,Yes,No,Bombay
SWAPNA JOSHI,Female,1959-08-26T00:00:00Z,Not Available,Not Available,2016-03-28T00:00:00Z,2021-08-25T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Not Available,No,Not Available,Not Available,Not Available,"Saraswatibai Mahila Vidyalaya, Gondia; D.B. Science College, Gondia; N.M.D. College, Gondia.",not available,Commerce,not available,not available,1981,not available,No,No,No,Bombay
KAMALKISHOR KAPOORCHANDJI TATED,Male,1959-09-19T00:00:00Z,Maharashtra,Kingaon Jattoo,2008-07-18T00:00:00Z,2021-09-18T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Not Available,Not Available,Yes,Not Available,Lala Lajpatrai College,Commerce,Government Law College,1983,1983,Maharashtra,No,No,No,Bombay
S.P. DESHMUKH,Male,1959-09-28T00:00:00Z,Not Available,Not Available,2012-01-23T00:00:00Z,2021-09-27T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Marathwada University,Science,Bombay University,not available,1986,Maharastra & Goa,No,No,No,Bombay
Dhananjaya Chandrachud,Male,1959-11-11T00:00:00Z,Not Available,Not Available,2000-03-29T00:00:00Z,2024-11-10T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Allahabad,Not Applicable,Not Applicable,Yes,2016-05-13T00:00:00Z,Bar,No,Yes,Yes,Not Applicable,Yes,No,Not Available,Not Available,Not Available,Cathedral (Mumbai)& St.Columbia (Delhi),St. Stephen's College,Economics & Mathematics,"Faculty of Law, Delhi",1982,not available,Maharashtra & Goa,Yes,No,Yes,Bombay
S. P. TAVADE,Male,1960-03-05T00:00:00Z,Not Available,Not Available,2019-12-05T00:00:00Z,2022-03-04T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,not available,Commerce,not available,not available,Not Applicable,Not Applicable,No,No,No,Bombay
SHAHRUKH JIMI KATHAWALLA,Male,1960-03-24T00:00:00Z,Not Available,Not Available,2008-07-18T00:00:00Z,2022-03-23T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Not Available,Not Available,Wilson College,Arts,Government Law College,1985,1985,Maharashtra & Goa,No,No,No,Bombay
V.K. JADHAV,Male,1960-05-17T00:00:00Z,Maharashtra,Beed,2014-03-03T00:00:00Z,2022-05-16T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,Yes,Not Available,No,Not Available,Not Available,Not Available,Not Available,"Balbhim College, Beed",Commerce,"M.P. Law College, Aurangabad",not available,1982,not available,No,No,No,Bombay
V.M. DESHPANDE,Male,1960-05-19T00:00:00Z,Maharashtra,Warud (District: Amravati),2014-01-06T00:00:00Z,2022-05-18T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,Yes,Yes,No,No,Yes,No,Not Available,Not Available,Yes,"Aided School, Buldhana","Hislop College, nagpur",Commerce,"University College of Law, nagpur",1983,1983,not available,No,No,No,Bombay
SADHANA S. JADHAV,Female,1960-06-14T00:00:00Z,Not Available,Not Available,2012-01-23T00:00:00Z,2022-06-13T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,"St. Joseph's High school, Solapur and St. Anne's High School, Pune","Fergusson College, Pune",Arts (Political Science),"Symbiosis College, Pune",not available,not available,not available,No,Yes,Yes,Bombay
A.K. MENON,Male,1960-07-12T00:00:00Z,Maharashtra,Mumbai,2014-03-03T00:00:00Z,2022-07-11T00:00:00Z,No,No,Bombay,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Not Available,No,Not Available,Not Available,Yes,Not Available,Mumbai University,Arts (Philosophy),Mumbai University,not available,1984,Maharashtra & Goa,No,No,No,Bombay
