Name of the Judge,Gender,Religion,Caste,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Government Counsel,If served as Advocate General,If empanelled by PSUs,If empanelled by Banks,If empanelled by any Statutory Body,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law
Surinder Singh Nijjar,Male,Sikh,General,7-Jun-1949,Punjab,Bhar Singh Pura,8-Apr-1996,16-Nov-2009,No,No,Punjab and Haryana,Yes,Bombay,26-Apr-1996,Punjab and Haryana,7-Aug-2000,,,Yes,Calcutta,,,Yes,17-Nov-2009,Bar,No,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,,,Educated in England,University of London,LLB,University of London,1972,1977,Punjab and Haryana,Yes,No,Yes
Surinder Singh Saron,Male,Sikh,General,4-Sep-1955,Punjab,Sangrur District,2-Jul-2002,3-Sep-2017,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,NA,Yes,,,,,No,"Bishop Cotton School, Shimla","Government College, Chandigarh",History,"Panjab University, Chandigarh",1980,1980,Punjab and Haryana,No,Yes,No
Surya Kant,Male,Hindu,General,10-Feb-1962,Haryana,Hissar,9-Jan-2004,4-Oct-2018,No,No,Punjab and Haryana,Yes,Himachal Pradesh,5-Oct-2018,,,,,Yes,Himachal Pradesh,,,Yes,24-May-2019,Bar,No,Yes,Yes,NA,No,Yes,Yes,Yes,Yes,Yes,No,,"Government Post Graduate College, Hisar in 1981",,"Maharishi Dayanand University, Rohtak",1984,1984,Punjab and Haryana,No,No,Yes
Sushil Kumar Jain,Male,Jain,General,,,,18-Mar-1992,30-Oct-1995,No,No,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,,,,,No,,,,No,,Service,Yes,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,,,Law,,,,,,,
Swatanter Kumar,Male,Hindu,General,31-Dec-1947,,,10-Nov-1994,17-Dec-2009,No,Yes,Delhi ,Yes,Punjab and Haryana,20-Nov-1994,Delhi,4-Oct-2004,,,Yes,Bombay,,,Yes,28-Dec-20012,Bar,Yes,Yes,,NA,No,No,,,Yes,,No,,,BA,,,1971,Delhi,No,No,No
Tapen Sen,Male,Hindu,General,2-Sep-1953,Jharkhand,Hazaribagh,28-Jan-2002,2-Sep-2015,No,No,Jharkhand ,Yes,Punjab and Haryana,2-Dec-2004,Calcutta,9-Jan-2006,,,No,,,,No,,Bar,No,Yes,,NA,Yes,No,Yes,,Yes,Yes,No,"St.Xavier's School, Hazaribag","St.Columba's College, Hazaribag",,"Chotanagpur Law College, Ranchi",1979,1980,Bihar,No,No,No
Tej Pal Garg,Male,Hindu,General,14-Jan-1936,,,20-Jun-1994,14-Jan-1998,No,No,Punjab and Haryana,Yes,Allahabad,21-Jul-1994,,,,,No,,,,No,,Service,Yes,No,NA,No,NA,NA,NA,NA,NA,NA,NA,,,Law,,,,Punjab and Haryana,No,No,No
Tej Pratap Singh Mann,Male,Sikh,General,1-Jan-1957,,,22-Mar-2006,31-Dec-2018,No,No,Punjab and Haryana,No,,,,,,,No,,,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,,,,,1979,Punjab and Haryana,No,No,Yes
Tejinder Singh Doabia,Male,Sikh,General,14-Feb-1941,,,14-Feb-1994,13-Feb-2003,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,11-Dec-1997,Madhya Pradesh,2-Mar-1994,,,No,,,,No,,Bar,No,Yes,,NA,,No,,,,,No,,,B.A.,,,1962,Punjab and Haryana,No,No,No
T.H.B. Chalapathi,Male,Hindu,OBC,1-Jun-1938,Andhra Pradesh,"Razole, East Godavari District",4-Nov-1994,31-May-2000,No,No,Andhra Pradesh,Yes,Punjab and Haryana,23-Nov-1994,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,,,,,Yes,,Madras Law College,B.Sc.,Madras Law College,1960,1961,Andhra Pradesh,No,No,No
Tirath Singh Thakur,Male,Hindu,General,4-Jan-1952,,,16-Feb-1994,16-Nov-2009,No,No,Jammu and Kashmir,Yes,Delhi,1-Jul-2004,Karnataka,17-Nov-2009,,,Yes,Punjab and Haryana,,,Yes,3-Dec-2015,Bar,No,Yes,Yes,NA,,,Yes,,Yes,,Yes,,,B.Sc.,,,1974,Jammu and Kashmir,,,
Uma Nath Singh,Male,Hindu,General,15-Jan-1954,,,22-Oct-2001,14-Jan-2016,No,No,Madhya Pradesh,Yes,Punjab and Haryana,2-Dec-2004,Allahabad,30-Jun-2009,Meghalaya,27-Aug-2014,Yes,Meghalaya,,,No,,Bar,No,Yes,,NA,Yes,No,Yes,,Yes,,,,"Ewing Christian College, Allahabad",,University of Allahabad,,1982,Delhi,No,Yes,No
Vijender Jain,Male,Jain,General,2-Aug-1946,,,24-Dec-1992,1-Aug-2008,No,No,Delhi ,No,,,,,,,Yes,Punjab and Haryana,,,No,,Bar,No,Yes,Yes,NA,,,,,,,,,,,,,,Delhi,,,
Viney Mittal,Male,Hindu,General,12-Aug-1948,,,2-Jul-2002,10-Apr-2007,No,No,Punjab and Haryana,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,
Vinod Kumar Bali,Male,Hindu,General,24-Jan-1945,,,15-Mar-1991,24-Jan-2007,No,No,Punjab and Haryana,Yes,Rajasthan,28-Feb-2005,Kerala,22-Jan-2006,,,Yes,Kerala,,,No,,Bar,No,Yes,Yes,NA,No,No,,,,,No,,,,"Punjab University, Chandigarh",1967,,Punjab and Haryana,No,No,No
Vinod Sagar Aggarwal,Male,Hindu,General,20-Aug-1940,,,10-Nov-1994,2-Jun-2001,No,No,Delhi ,Yes,Punjab and Haryana,30-Nov-1994,,,,,No,,,,No,,Service,Yes,Yes,NA,No,No,No,,,,,,,,BA,,,1962,Punjab and Haryana,No,No,No
Virender Singh,Male,Sikh,General,7-Oct-1954,,,2-Jul-2002,7-Oct-2016,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,19-Apr-2007,,,,,Yes,Jharkhand,,,No,,Bar,No,Yes,,NA,,Yes,,,,,No,,"Government College, Rohtak",,"J.V.Jain College, Saharanpur",,1978,,No,No,No
V.K. Jhanji,Male,Hindu,,22-Mar-1944,,,15-Mar-1991,22-Mar-2006,No,No,Punjab and Haryana,Yes,Jammu and Kashmir,2-Dec-2001,Himachal Pradesh,19-Oct-2005,,,No,,,,No,,Bar,No,Yes,,NA,No,No,,,,,No,,,,,,1971,Punjab and Haryana,No,No,No
V.M. Jain,Male,Jain,General,19-Nov-1945,,,8-Feb-1999,23-Feb-2006,Yes,No,Punjab and Haryana,Yes,Himachal Pradesh,27-Feb-2005,,,,,No,,,,No,,Service,Yes,Yes,NA,No,,,,,,,,,,,,,1968,Punjab and Haryana,,,
